Date,Close,High,Low,Open,Volume,Daily_Return,Volatility,MA_10,MA_50,Momentum,Volume_MA_20,Volume_Change,RSI
2018-03-14,242.30967712402344,244.7037296005574,241.75519513417626,244.51890227060835,105895100,-0.005131215178433179,0.00965184099923429,241.00172424316406,241.46539184570312,0.9980797761575897,105911165.0,-0.00015168372475177664,57.81645994733155
2018-03-15,242.04554748535156,243.4626012521237,241.54384663131088,242.8200975349884,83433000,-0.0010900498973331896,0.009261869562158683,241.64423675537108,241.57505950927734,1.000286359221992,104046030.0,-0.198114526810874,50.78351394446052
2018-03-16,242.30807495117188,243.3596693637448,242.25505565037898,242.5731714551364,100343700,0.0010846200995959787,0.008842369088535083,242.19154052734376,241.6600521850586,1.00219932230205,103503200.0,-0.030525626260830583,45.27350503017249
2018-03-19,239.02955627441406,242.48479112275547,237.37705851392633,241.55692641312461,109208400,-0.013530373172328192,0.009379307044358891,242.137255859375,241.65940551757814,1.001977371171519,100942615.0,0.0818859804652376,44.776626285473164
2018-03-20,239.43609619140625,240.0723548139247,238.75563683636938,239.42725065128056,59757300,0.0017007935057431478,0.00927872834292792,242.06289672851562,241.63502868652344,1.0017707202648474,99611995.0,-0.40009935550432457,51.09517360345903
2018-03-21,238.9765625,241.48624182819262,238.76448527928557,239.39189836930612,78709600,-0.0019192331428544707,0.009214728005143403,241.95139770507814,241.59265899658203,1.0014848907660774,98603290.0,-0.20175482988447951,59.806262919389496
2018-03-22,233.00283813476562,237.59801555422393,232.72886909023754,236.74967967138895,148785900,-0.02499711395436266,0.010805092465094843,241.12633819580077,241.41990020751953,0.9987840189998156,100517020.0,0.48020603873851414,41.67345976341222
2018-03-23,228.03640747070312,233.77157928506128,227.84199440974007,233.44461799346522,183534800,-0.021314893431426674,0.01094073583952742,239.38479614257812,241.15520721435547,0.9926586239118458,105055440.0,0.7470280453825142,26.596621313493742
2018-03-26,234.27528381347656,234.55807137654898,229.23826181576712,231.64190216567016,141956100,0.027359123974863397,0.012493898633936733,238.2979476928711,240.98008514404296,0.988869879228532,107828675.0,0.3164967481980095,40.78211344095401
2018-03-27,230.28988647460938,235.74224499591256,228.73458164104392,235.21205195547876,129941400,-0.017011599661705068,0.012730988057274024,236.9709930419922,240.69356872558595,0.9845339628171044,109370785.0,0.1880814424071291,36.103892573836696
2018-03-28,229.60939025878906,232.09258645062064,228.50477665506375,230.42239773709733,146452300,-0.0029549548451200947,0.012599311238819138,235.70096435546876,240.4101657104492,0.9804118043799686,110598010.0,0.32418567024849726,33.199859192952815
2018-03-29,232.54327392578125,234.40787590041907,229.61825896543695,230.74938233105553,111601600,0.0127777163803513,0.012642902726963832,234.75073699951173,240.13896911621094,0.9775620252867344,107335335.0,0.03974706931319495,30.97075185809514
2018-04-02,227.52395629882812,232.52565133034014,225.04961843824515,232.0130953728441,186286300,-0.021584445519396533,0.013395804583843035,233.27232513427734,239.77565795898437,0.9728774268411371,109695490.0,0.6982129347341445,27.008884957418175
2018-04-03,230.44009399414062,230.91729468859214,226.96719481188146,228.76108647586676,119956900,0.012816838027739141,0.0134652279510777,232.41337890625,239.44831420898439,0.9706202345755732,110827965.0,0.08237032052334445,33.725473512964115
2018-04-04,232.90560913085938,233.6125511780007,226.7551270227763,226.8876752856015,123715300,0.010699158701009015,0.013726540941542303,231.7603302001953,239.1301449584961,0.9691807372944139,113053070.0,0.09431172457324688,38.88895757561751
2018-04-05,234.74371337890625,235.62740446622072,233.57723467130435,234.66415744910958,82652600,0.007892056592823993,0.013884069842524238,231.33704528808593,238.8381753540039,0.9685932533406778,112832525.0,-0.2674754021502222,41.8425383121382
2018-04-06,229.51223754882812,234.27531822190647,227.992287884209,232.78190517782255,179521200,-0.022285903868419554,0.014587196472370386,230.98798522949218,238.44351440429688,0.9687325143087626,118463525.0,0.5154132886050791,36.835716315822495
2018-04-09,230.64337158203125,234.03674208867398,229.70666119589032,230.970332966311,105442900,0.0049284258010968696,0.01394910431231429,231.248681640625,238.0693618774414,0.9713500293232705,118054405.0,-0.10682790701456672,41.091876247252
2018-04-10,234.31065368652344,235.09715158909322,232.39305939698409,233.5330013233873,103529000,0.015900227608266038,0.014576314538734429,231.2522186279297,237.71081817626953,0.9728300142253072,119634615.0,-0.13462336966604524,45.183321662101775
2018-04-11,233.08236694335938,234.7437104819056,232.75540555998597,232.82608898012964,91140200,-0.0052421293007332,0.014559877934931189,231.53146667480468,237.36115356445313,0.9754395915165391,119593180.0,-0.237914737278497,44.460679331005345
2018-04-12,234.99989318847656,235.94544883781194,234.23108649030613,234.40783544147104,68890500,0.00822681814271764,0.014718792643748181,232.07051696777344,237.10124114990234,0.9787823793847273,117742950.0,-0.41490764415194287,52.67192241791684
2018-04-13,234.31065368652344,236.42268803495486,233.30326001108475,236.30780389474955,85079200,-0.002932935383933688,0.014722338682286257,232.24725494384765,236.8250796508789,0.9806700172389691,117825260.0,-0.2779205409773762,58.281099043979566
2018-04-16,236.23707580566406,237.00590953983792,235.1236436129237,235.94546967540268,63405300,0.008221658250836095,0.014874489214494383,233.11856689453126,236.59307983398438,0.9853143932109462,115978340.0,-0.45330050421483875,53.07898323794295
2018-04-17,238.7644805908203,239.36538401645197,237.49196335530033,238.00449228466618,64682000,0.010698594945508733,0.014800656376585246,233.9510055541992,236.51953582763673,0.9891403039311335,113752020.0,-0.4313771307094151,62.62593605512829
2018-04-18,238.94119262695312,239.74532760470183,238.48165610469013,239.20628910663888,57303900,0.0007401102362274425,0.014796571522664717,234.5545639038086,236.6523175048828,0.9911357149459104,113629350.0,-0.4956945542678894,64.09349118177008
2018-04-19,237.6156463623047,238.49049167681346,236.58171619852686,238.28723307214477,77655900,-0.005547583696537184,0.014843521335330654,234.84175720214844,236.6670492553711,0.9922875108344588,113576665.0,-0.31626888322526464,58.18014812101345
2018-04-20,235.60079956054688,237.76585288421933,234.7171087293506,237.54493017642025,99953100,-0.008479436571637522,0.013813875740278854,235.45061340332032,236.66718536376953,0.9948595663628682,111135025.0,-0.10061566999242588,64.2987571917025
2018-04-23,235.5654754638672,236.73195385379043,234.4873715522299,236.17522430550414,65558000,-0.0001499319898131679,0.012817797708356768,235.9428237915039,236.84335174560547,0.996197790871205,105236185.0,-0.3770393710110263,60.12512185530664
2018-04-24,232.39303588867188,236.81149026125064,230.89075061475296,236.5905675426217,112885500,-0.013467336709457323,0.011720951674101674,235.75106201171874,236.88794616699218,0.9952007513524053,103782655.0,0.08771065839469996,49.34734337134468
2018-04-25,232.96746826171875,233.4093137723716,230.5108083012133,232.33120964765425,103840900,0.002471814057810384,0.011052813396512835,235.73957214355468,236.87643127441407,0.9952006236975836,102477630.0,0.013303098442069748,46.83528936341297
2018-04-26,235.33575439453125,236.16642611436546,233.55070823494597,233.9925537468531,67731900,0.01016573751899097,0.011216601447961919,235.77315826416014,236.9006640625,0.995240596716764,98541610.0,-0.31265685632698714,63.13847528289487
2018-04-27,235.55665588378906,236.2459337414099,234.61994564056346,235.94548205661184,57053600,0.000938665226736024,0.010886101744418593,235.89775848388672,236.86611907958985,0.9959117808850587,95814210.0,-0.404539264061145,61.56019716175548
2018-04-30,233.74510192871094,236.73198165607022,233.67439155053606,236.17525204240047,82182300,-0.007690523319247022,0.009775842609559285,235.6485610961914,236.73478790283204,0.9954116299667521,90609010.0,-0.09300079539551309,48.79581045681834
2018-05-01,234.160400390625,234.26643897285976,231.62418511436118,233.1794895687467,74203400,0.0017767151417817928,0.009401491361840668,235.1881530761719,236.61035430908203,0.9939892688252674,88321335.0,-0.15984739134660952,53.050236981631095
2018-05-02,232.5874481201172,234.77898422141712,232.19862197928552,233.96600372193657,86368900,-0.006717413652709059,0.009245850320157564,234.5527786254883,236.48456451416016,0.9918312389959125,86454015.0,-0.0009845118240026215,43.767463550774565
2018-05-03,232.0749053955078,232.728828047359,228.920122334684,231.7567896085878,136311500,-0.002203655995850151,0.00906452579160629,233.9987045288086,236.37228759765625,0.9899582853262059,89136960.0,0.5292365815482153,44.170125848002485
2018-05-04,235.0794677734375,235.75992709625967,230.77589696113725,231.1028583129879,91222100,0.012946519886797958,0.007972146873503776,233.94657135009766,236.31394104003905,0.989982098899784,84722005.0,0.0767226294986763,47.31068717618425
2018-05-07,235.87484741210938,236.84688607701938,235.15903278879605,235.84833775703208,55304900,0.003383450057145909,0.007941843271790297,233.97750854492188,236.19563110351564,0.9906089602579412,82215105.0,-0.3273146096450281,42.28414157852392
2018-05-08,235.87484741210938,236.23713704212827,234.31069685820916,235.50368527291405,67499200,0.0,0.007143490339944134,234.32568969726563,236.02116485595704,0.9928164274601129,80413615.0,-0.16059985613132802,41.721634576711786
