Date,Close,High,Low,Open,Volume,Daily_Return,Volatility,MA_10,MA_50,Momentum,Volume_MA_20,Volume_Change,RSI,Regime
2018-03-14,242.30955505371094,244.70360632417362,241.75507334319963,244.51877908733653,105895100,-0.005131903354447354,0.009651831009382767,241.00171508789063,241.4653970336914,0.9980797167979474,105911165.0,-0.00015168372475177664,57.8162669530176,0
2018-03-15,242.04559326171875,243.46264729648829,241.54389231279492,242.8201434578408,83433000,-0.001089357751218989,0.009261830860552649,241.64423217773438,241.57506469726562,1.000286318791037,104046030.0,-0.198114526810874,50.78349305179428,0
2018-03-16,242.30810546875,243.35970001376637,242.25508616127956,242.57320200610218,100343700,0.0010845568534991745,0.008842314647997805,242.19154510498046,241.6600570678711,1.002199320994781,103503200.0,-0.030525626260830583,45.273698716234236,0
2018-03-19,239.029541015625,242.4847756433966,237.3770433606268,241.5569109929973,109208400,-0.013530560386259216,0.009379269910251694,242.13726654052735,241.65941162109374,1.001977390064091,100942615.0,0.0818859804652376,44.77657769332991,0
2018-03-20,239.43605041503906,240.07230891591502,238.75559119009515,239.4272048766045,59757300,0.0017006659414848802,0.009278689848792553,242.06290588378906,241.63503326416014,1.001770739175727,99611995.0,-0.40009935550432457,51.095002664007716,0
2018-03-21,238.9765625,241.48624182819262,238.76448527928557,239.39189836930612,78709600,-0.001919042325675635,0.009214686986301911,241.9513961791992,241.59266387939454,1.0014848642092202,98603290.0,-0.20175482988447951,59.806417489141694,0
2018-03-22,233.00277709960938,237.59795331535972,232.72880812684755,236.74961765474657,148785900,-0.024997369356631438,0.010805085848335562,241.12632904052734,241.41990509033204,0.9987839608764039,100517020.0,0.48020603873851414,41.673405748523365,0
2018-03-23,228.0364532470703,233.77162621271538,227.8420401470805,233.4446648554846,183534800,-0.02131444060177856,0.010940674199298374,239.3847869873047,241.15521209716798,0.9926585658486621,105055440.0,0.7470280453825142,26.596638653129162,0
2018-03-26,234.2753143310547,234.5581019309641,229.23829167720385,231.64193234021414,141956100,0.027359051568938364,0.012493872458749403,238.29794311523438,240.98009063720704,0.9888698376912365,107828675.0,0.3164967481980095,40.782119765750224,0
2018-03-27,230.28988647460938,235.74224499591256,228.73458164104392,235.21205195547876,129941400,-0.017011727709448254,0.012730983551075947,236.97098388671876,240.69357299804688,0.9845339073039631,109370785.0,0.1880814424071291,36.103682196188025,0
2018-03-28,229.60943603515625,232.0926327220534,228.50482221120828,230.4224436755508,146452300,-0.0029547560679706875,0.012599312212095164,235.7009719848633,240.4101721191406,0.9804118099797225,110598010.0,0.32418567024849726,33.199858861489545,0
2018-03-29,232.5432891845703,234.40789128155768,229.61827403229532,230.7493974721348,111601600,0.012777580922087362,0.012642888445421151,234.75074157714843,240.13897338867187,0.9775620269567721,107335335.0,0.03974706931319495,30.970614934033506,0
2018-04-02,227.52394104003906,232.5256357361147,225.04960334539643,232.013079812993,186286300,-0.021584575337056378,0.01339580866129083,233.27232513427734,239.77566192626952,0.9728774107440815,109695490.0,0.6982129347341445,27.008768891179955,0
2018-04-03,230.4400634765625,230.91726410781752,226.96716475422534,228.76105618064247,119956900,0.012816771822751871,0.013465231385342268,232.4133773803711,239.44831756591796,0.9706202145955349,110827965.0,0.08237032052334445,33.725316870295316,0
2018-04-04,232.90553283691406,233.6124746524792,226.75505274357226,226.88760096297804,123715300,0.010698961470310131,0.013726531903270773,231.76032562255858,239.13014770507812,0.9691807070198074,113053070.0,0.09431172457324688,38.888910599254324,0
2018-04-05,234.74368286132812,235.62737383375938,233.5772043053729,234.664126941874,82652600,0.007892255722843577,0.013884066515321241,231.3370376586914,238.83817657470703,0.9685932164464113,112832525.0,-0.2674754021502222,41.8424201729182,0
2018-04-06,229.51222229003906,234.27530264645085,227.99227272647158,232.78188970165434,179521200,-0.02228584176375681,0.01458719603627756,230.98798217773438,238.4435140991211,0.9687325027499492,118463525.0,0.5154132886050791,36.83562713668808,0
2018-04-09,230.6433563232422,234.03672660538797,229.70664599907167,230.970317685891,105442900,0.004928426128756103,0.013949093901867358,231.24867248535156,238.06935974121095,0.9713499995830052,118054405.0,-0.10682790701456672,41.091837083142664,0
2018-04-10,234.31068420410156,235.09718220910804,232.3930896648069,233.53303173968084,103529000,0.015900427132701234,0.014576319181203836,231.25220947265626,237.71081512451173,0.972829988200274,119634615.0,-0.13462336966604524,45.1833887437312,0
2018-04-11,233.08226013183594,234.7436029090606,232.75529889829474,232.82598228604726,91140200,-0.005242714716310548,0.014559893124665822,231.5314468383789,237.36115020751953,0.9754395217412629,119593180.0,-0.237914737278497,44.46057761706546,0
2018-04-12,234.99993896484375,235.94549479836687,234.23113211691503,234.4078811025094,68890500,0.008227476565239922,0.014718822813926587,232.07049713134765,237.10123931884766,0.9787823032812798,117742950.0,-0.41490764415194287,52.672031920967044,0
2018-04-13,234.31068420410156,236.42271882761298,233.3032903974558,236.30783467244473,85079200,-0.0029329997436522426,0.014722368339860823,232.2472366333008,236.82507934570313,0.9806699411859169,117825260.0,-0.2779205409773762,58.28102232826994,0
2018-04-16,236.23707580566406,237.00590953983792,235.1236436129237,235.94546967540268,63405300,0.008221526935939805,0.014874514775012577,233.1185501098633,236.5930792236328,0.9853143248096226,115978340.0,-0.45330050421483875,53.07892073475686,0
2018-04-17,238.7644500732422,239.36535342206966,237.49193300036845,238.00446186422565,64682000,0.010698465763507858,0.014800668642650413,233.95098876953125,236.5195346069336,0.9891402380709443,113752020.0,-0.4313771307094151,62.625816395944796,0
2018-04-18,238.9412384033203,239.74537353512525,238.48170179301928,239.20633493379327,57303900,0.0007404298672766263,0.014796585393714685,234.55455932617187,236.65231567382813,0.9911357032713445,113629350.0,-0.4956945542678894,64.0933516962611,0
2018-04-19,237.61566162109375,238.49050699178184,236.5817313909208,238.28724837406062,77655900,-0.00554771035374424,0.014843538997948264,234.84175720214844,236.66704803466797,0.9922875159525708,113576665.0,-0.31626888322526464,58.180050560723956,0
2018-04-20,235.600830078125,237.7658836822387,234.7171391324635,237.54496094582333,99953100,-0.008479371810860004,0.013813867297355361,235.45061798095702,236.6671841430664,0.9948595908363284,111135025.0,-0.10061566999242588,64.29866643488432,0
2018-04-23,235.5655059814453,236.73198452248616,234.4874019301393,236.1752549020754,65558000,-0.0001499319703923696,0.012817829716695475,235.94283294677734,236.84335174560547,0.9961978295266004,105236185.0,-0.3770393710110263,60.12510044479161,0
2018-04-24,232.39303588867188,236.81149026125064,230.89075061475296,236.5905675426217,112885500,-0.01346746451504377,0.011721002636739575,235.75106811523438,236.88794494628905,0.9952007822461694,103782655.0,0.08771065839469996,49.347501984711364,0
2018-04-25,232.96739196777344,233.4092373337274,230.51073281179353,232.3311335620757,103840900,0.002471485760772607,0.011052854361182935,235.7395812988281,236.87642883300782,0.9952006726047818,102477630.0,0.013303098442069748,46.835242813776496,0
2018-04-26,235.3357391357422,236.16641080171698,233.5506930918964,233.99253857515498,67731900,0.01016600283826996,0.01121665780507075,235.77316131591797,236.90066223144532,0.9952406172912011,98541610.0,-0.31265685632698714,63.13825396479084,0
2018-04-27,235.55667114257812,236.24594904484874,234.6199608386747,235.94549734058813,57053600,0.0009387949643657745,0.01088616714863367,235.89776000976562,236.86611724853515,0.9959117950257382,95814210.0,-0.404539264061145,61.56004844072444,0
2018-04-30,233.74510192871094,236.73198165607022,233.67439155053606,236.17525204240047,82182300,-0.007690587598644938,0.009775902477785347,235.6485626220703,236.7347848510742,0.9954116492441648,90609010.0,-0.09300079539551309,48.79576411022101,0
2018-05-01,234.16041564941406,234.2664542385587,231.62420020788073,233.17950476361585,74203400,0.0017767804213917326,0.009401558634544671,235.1881591796875,236.6103515625,0.9939893061591735,88321335.0,-0.15984739134660952,53.050519174857534,0
2018-05-02,232.58749389648438,234.7790304291084,232.1986676791265,233.96604976962223,86368900,-0.0067172828873206525,0.009245926828240707,234.55278472900392,236.48456268310548,0.9918312724848337,86454015.0,-0.0009845118240026215,43.76749531765875,0
2018-05-03,232.0749053955078,232.728828047359,228.920122334684,231.7567896085878,136311500,-0.0022038523756771067,0.009064597571377498,233.99870910644532,236.37228576660155,0.9899583123611203,89136960.0,0.5292365815482153,44.1700824199101,0
2018-05-04,235.07945251464844,235.75991179330262,230.77588198168894,231.10284331231682,91222100,0.012946454137383823,0.00797223139020937,233.94657135009766,236.31393829345703,0.9899821104059484,84722005.0,0.0767226294986763,47.31066822290929,0
2018-05-07,235.87477111816406,236.8468094686672,235.15895672638163,235.84826147166132,55304900,0.00338319064047532,0.007941924274046245,233.97749786376954,236.19562561035156,0.9906089380747414,82215105.0,-0.3273146096450281,42.284060569709666,0
2018-05-08,235.87477111816406,236.23706063100002,234.31062107018982,235.50360909902147,67499200,0.0,0.007143556108171163,234.32567138671874,236.02115966796876,0.9928163717031336,80413615.0,-0.16059985613132802,41.721310785472184,1
2018-05-09,238.1547393798828,238.48170075541387,236.02504070064637,236.5464151870487,59666100,0.009666011548884912,0.007304529304652834,234.8444061279297,235.95337677001953,0.9953000433506373,78839910.0,-0.24319928827924842,51.64896397535138,1
2018-05-10,240.38156127929688,240.70854952792098,238.79092862937145,238.89696721028608,72063900,0.009350315283300104,0.007366228901429388,235.34898834228517,235.97906677246092,0.9973299393086281,78998580.0,-0.0877823373534056,62.64696832792947,1
2018-05-11,241.1150360107422,241.38013245892407,239.99273145453296,240.50528721182133,59871500,0.003051293649736664,0.007312630716326448,235.90482482910156,236.08895904541015,0.9992200642628393,77738195.0,-0.22983161623446494,64.11862004098035,1
2018-05-14,241.22991943359375,242.20195771953226,240.6820084954234,241.54803517049672,54790600,0.0004764672695336536,0.007138595555055059,236.65330657958984,236.17685791015626,1.0020173385049218,77307460.0,-0.29126374091193785,76.54987285444639,1
2018-05-15,239.56866455078125,240.01932867712787,238.62310859374907,240.00166456350468,87036100,-0.006886603812301217,0.0069713191777623605,237.19413146972656,236.17678466796875,1.0043075647896047,78425165.0,0.10979811135877113,68.77449718407397,1
2018-05-16,240.5759735107422,241.03550998393763,239.57739859704026,239.60393521028112,53942600,0.004204677443311544,0.007028485955847093,237.99297943115235,236.18471099853517,1.007656162098606,78257100.0,-0.3107002431728239,66.08811860256435,1
2018-05-17,240.3728485107422,241.45095283807808,239.5951959509439,240.3109836552776,56536400,-0.0008443278729616255,0.0068977275098907635,238.8227737426758,236.19033477783202,1.0111454135806188,77201125.0,-0.2676738842860127,64.82165800439631,1
2018-05-18,239.77183532714844,240.39042973225517,239.4183643677041,240.02811323419044,64368000,-0.002500337235746053,0.006606968648219909,239.2920120239258,236.16070251464845,1.0132592318532891,75421870.0,-0.14656054006616384,70.07791917463774,1
2018-05-21,241.57461547851562,242.1136810367539,240.8676734332078,241.25649964856024,58025900,0.0075187319182314916,0.006763585423492752,239.86199645996095,236.08315734863282,1.016006390094774,75045265.0,-0.22678799255356083,72.54117730967047,1
2018-05-22,240.90296936035156,242.35223541747547,240.5760080340291,242.09595749896323,52966400,-0.0027802843309245873,0.005904594976785281,240.36481628417968,235.9983416748047,1.0185021410675494,72049310.0,-0.2648590250205033,76.88069190249641,1
2018-05-23,241.5657196044922,241.59225621956955,239.47137658934227,239.63046143928264,64694200,0.002751108655490553,0.005906558613112355,240.70591430664064,235.95846649169923,1.0201198451809248,70091975.0,-0.07700988593915352,80.39241753715005,1
2018-05-24,241.07089233398438,241.44205441736767,239.28584623493438,241.16811236672407,76043800,-0.0020484167675693943,0.0056240219408421974,240.77484741210938,235.93369323730468,1.0205191302199275,70507570.0,0.0785196539889263,72.84621282496157,1
2018-05-25,240.49644470214844,241.12385761614667,239.99273447615838,240.49644470214844,56374800,-0.0023828991807111066,0.00568150435742427,240.71298828125,235.90271026611327,1.020390940018071,70473630.0,-0.20005823454815652,67.97209548540911,1
2018-05-29,237.7305450439453,239.63050228387698,236.61711271320866,238.87051399428245,115908600,-0.01150079229499068,0.006042550066605278,240.36305084228516,235.81115905761717,1.0193031229007945,72159945.0,0.6062733972427501,56.12088138283931,1
2018-05-30,240.90296936035156,241.3448148214591,238.96771105135883,239.03839445916907,69678400,0.013344622231105552,0.0066570132965012374,240.4964813232422,235.84862762451172,1.0197069355270119,71933695.0,-0.0313524141919861,58.43868953277209,1
2018-05-31,239.42724609375,240.7969563816566,238.82634267506256,240.49650467231288,93519900,-0.006125799405959698,0.006620071544485157,240.38160858154296,235.84845153808592,1.0192206351743844,72291245.0,0.2936545773973045,47.1975582388031,1
