Date,Close,High,Low,Open,Volume
2018-01-02,236.56219482421875,236.5974089834825,235.356371759636,235.74364692993703,86655700
2018-01-03,238.05844116210938,238.20808116432923,236.72938223016916,236.72938223016916,90070400
2018-01-04,239.06187438964844,239.54598180601522,238.12011718356536,238.70102996688468,80636400
2018-01-05,240.6549072265625,240.77811645182302,239.36106262844297,239.8539532505338,83524000
2018-01-08,241.09503173828125,241.25345513837206,240.2676737237684,240.55811662393486,57319200
2018-01-09,241.64068603515625,242.26559612820049,241.23579049496502,241.5174499506135,57254000
2018-01-10,241.2710418701172,241.53510772322946,240.21485903925273,240.88376677397508,69574300
2018-01-11,243.03138732910156,243.03138732910156,241.65833076818808,241.825564426552,62361500
2018-01-12,244.61569213867188,244.78289892979492,242.99616342156756,243.29544343228133,90816100
2018-01-16,243.7795867919922,246.52570051228253,243.08424810623418,245.874386244416,106555100
2018-01-17,246.1031494140625,246.49042451957706,243.77952564150394,244.71249925191754,113258800
2018-01-18,245.6895294189453,246.41124506409105,245.19661178881137,245.9887826104511,100728000
2018-01-19,246.80726623535156,246.80726623535156,245.6894654703297,246.2703511928904,140920100
2018-01-22,248.81405639648438,248.81405639648438,246.54321373437313,246.59604839071403,91322400
2018-01-23,249.34219360351562,249.63263651822,248.532429194971,248.85808626496785,97084700
2018-01-24,249.2454376220703,250.58330732706133,248.0660182340915,249.98477394615236,134816100
2018-01-25,249.3509063720703,250.2046680875177,248.55876269579983,250.10786276354497,84587300
2018-01-26,252.23782348632812,252.28184787874196,249.9317941162781,250.18704963861404,107743100
2018-01-29,250.56553649902344,252.10582629863956,250.40711313758834,251.66574349874924,90118300
2018-01-30,247.9954833984375,250.61835985801847,247.5201864240777,248.73481932492822,131796400
2018-01-31,248.11866760253906,249.35089402243372,247.04486453794772,248.8492200639733,108364800
2018-02-01,247.8370819091797,249.13973700377733,247.0449380364705,247.38821560227782,90102500
2018-02-02,242.441650390625,246.64884132023326,242.40643624202914,246.51679497813015,173174800
2018-02-05,232.30209350585938,242.79367896686537,231.75639514764742,240.68128696131,294681800
2018-02-06,236.87901306152344,237.38071398653761,227.6988907174772,228.79028765425716,355026800
2018-02-07,235.59400939941406,239.72196260327064,235.51477083413027,236.32453525026932,167376100
